Image_name,center_x,center_y,len_a,len_b,angle_in_radian
018562.jpg,107,104,184,193,2.072258907412457
000001.jpg,118,98,176,257,1.5199555163208478
000002.jpg,115,116,211,232,0.2271792756687713
000004.jpg,115,112,206,230,2.931621310080785
000005.jpg,81,111,91,111,0.31785190465794233
000007.jpg,119,109,162,228,0.8947138687683124
000009.jpg,121,109,167,221,2.086178185165865
000011.jpg,107,110,196,221,0.5109856119120064
000014.jpg,107,95,193,222,1.0851581162165327
000015.jpg,121,127,211,247,0.6489565644274732
000016.jpg,118,109,171,206,2.2976313115053935
000017.jpg,105,95,138,213,0.9868754211886762
000018.jpg,131,104,174,212,1.9413080808199525
000019.jpg,88,96,132,202,0.9982517795752222
000020.jpg,108,111,194,215,0.9603115877376264
000022.jpg,201,57,65,148,3.0701672057860856
000023.jpg,120,111,213,230,2.8343514817945126
000024.jpg,106,108,179,213,0.9197626298752162
000025.jpg,116,112,198,225,3.0832310761973605
000027.jpg,139,106,180,192,1.5505991794038445
000028.jpg,108,107,167,209,0.577611410930632
000029.jpg,116,109,153,255,1.0263702333126057
000030.jpg,114,123,186,205,2.487790600716975
000031.jpg,122,106,187,237,1.0246607502088838
000032.jpg,113,111,181,203,1.0515080771579726
000037.jpg,108,107,143,176,0.8927754203898709
000039.jpg,115,107,136,225,1.150119406264345
022042.jpg,121,113,216,259,1.3793460702448987
022044.jpg,112,114,189,223,1.5980969237615168
022045.jpg,107,124,199,248,0.5462614775265462
022046.jpg,113,113,175,225,2.0101406749863586
022047.jpg,117,108,199,252,1.0010140102578522
022048.jpg,113,97,164,254,2.2071280429167945
022049.jpg,103,111,182,211,2.315254247386775
022050.jpg,100,117,189,213,1.6066695061524272
022052.jpg,95,118,181,199,0.13171558658903412
022053.jpg,116,113,158,178,0.9729751184580349
022054.jpg,33,32,87,109,0.7469167506473211
022055.jpg,107,114,186,203,3.090587526076486
022057.jpg,113,114,154,180,1.6220212982561892
022058.jpg,113,106,192,198,1.8213395979307172
022062.jpg,118,113,176,201,1.211778376560459
022063.jpg,114,118,182,245,0.3755622392953095
022064.jpg,112,104,185,221,2.1875282425582476
022065.jpg,116,105,204,247,0.9055710439003474
022066.jpg,124,112,197,218,1.6264617198997326
022067.jpg,117,116,142,210,1.2866643358846153
022069.jpg,105,106,192,258,2.2198630129334442
022072.jpg,116,124,186,227,2.4649705059683042
022073.jpg,113,109,183,239,1.6339155083167012
022075.jpg,192,56,84,124,2.727045530940277
022076.jpg,109,152,173,245,1.6950090895133914
022077.jpg,118,107,154,196,1.5588242192725
022078.jpg,91,102,201,230,1.617409768512608
011363.jpg,110,106,161,202,1.8243529647041417
011365.jpg,109,105,138,156,2.0324314664683762
011366.jpg,100,105,159,197,0.7267088174538543
011371.jpg,111,113,161,188,1.897647552118921
011372.jpg,115,106,201,223,0.15347194821930019
011374.jpg,106,114,222,242,1.7113964518070304
011380.jpg,103,115,204,246,2.076135671011285
011381.jpg,109,111,182,245,1.2190093915522422
011382.jpg,114,105,171,216,1.4478592182385497
011383.jpg,112,103,204,217,2.8377097279291026
011384.jpg,123,113,204,259,0.9271128879048075
011385.jpg,109,112,191,205,1.5006112462688936
011387.jpg,112,111,161,269,2.2363708832664098
011388.jpg,110,111,143,205,1.5333160628775573
028867.jpg,117,116,180,231,2.168955357116035
028868.jpg,104,117,219,240,2.1173037472481115
028869.jpg,116,100,101,140,1.7045951378571313
028870.jpg,107,118,200,240,0.270501832582715
028872.jpg,105,127,185,212,0.7443053214614166
028873.jpg,99,98,182,193,2.1851170165072897
028874.jpg,121,110,166,257,1.5561424160547899
028875.jpg,122,114,172,250,1.4929064549191855
028876.jpg,98,109,168,191,0.6259915271364747
028877.jpg,113,118,218,240,0.4974443032963078
028878.jpg,123,120,163,231,2.372716208962978
028880.jpg,109,121,209,239,0.42343628831500996
028881.jpg,108,110,168,188,1.0579270943333907
028882.jpg,118,122,217,225,1.7239480631826285
028884.jpg,111,118,219,244,2.861085890713382
028886.jpg,125,114,188,206,1.167330883757309
028888.jpg,120,103,173,216,1.4926414703907227
028889.jpg,106,117,210,254,0.3488904812410842
028890.jpg,120,100,171,179,2.448592331580426
028891.jpg,113,114,173,195,0.8234347616665051
028892.jpg,110,115,213,233,0.588001201291358
028893.jpg,124,112,190,246,0.9380662697312216
028894.jpg,121,102,203,210,2.2573001336411243
028895.jpg,125,104,192,229,1.7588053797423486
028896.jpg,109,114,187,223,1.3383846553086625
028897.jpg,135,133,177,196,0.9475555121693375
028898.jpg,112,115,188,194,2.7931379986611002
028899.jpg,119,103,204,234,1.6065266275599448
028900.jpg,118,115,162,211,0.9272777375762835
028901.jpg,113,99,195,215,1.1924329080860143
028902.jpg,109,114,214,231,0.12172092611029167
004612.jpg,112,100,203,248,1.5454233258252754
004614.jpg,101,98,142,220,1.2463781654427686
004615.jpg,108,110,183,244,1.4896870926354433
004616.jpg,105,117,145,192,1.4441144142717348
004617.jpg,113,118,211,225,0.9808909653241318
004618.jpg,121,110,204,251,1.0233482778446654
004619.jpg,108,117,224,243,0.003294551071530115
004620.jpg,114,123,213,226,2.918909775881728
004621.jpg,93,110,210,244,1.9294687318778965
004622.jpg,118,110,189,208,2.0239869821258987
004623.jpg,115,111,161,230,1.1481878155257106
004625.jpg,115,112,152,227,1.3070095550322756
004626.jpg,78,102,123,202,0.022530725651477054
004627.jpg,115,106,170,203,1.683404365063371
004629.jpg,107,102,202,266,1.2383143799781176
004630.jpg,106,122,195,232,0.4382270855351465
004631.jpg,101,118,176,225,1.7544871971928393
004632.jpg,120,112,218,252,0.42820667561761433
004633.jpg,18,88,55,189,3.1065060388602173
004634.jpg,122,108,197,218,2.1066656171157354
004635.jpg,110,117,159,226,0.9705457829116646
000040.jpg,115,108,146,213,1.1823226164816922
000075.jpg,140,107,122,183,1.5212953526652666
000137.jpg,111,123,236,244,3.0378018090583527
000167.jpg,126,122,226,242,0.5854648732481939
000198.jpg,114,122,200,242,0.3584469019176973
000224.jpg,111,125,226,245,2.4158362491207783
000288.jpg,118,116,219,225,1.7061528207787189
000458.jpg,116,105,213,241,3.0988515812551114
000478.jpg,112,110,149,226,0.8738820235104672
000510.jpg,24,63,54,164,0.2518308762333602
000575.jpg,111,110,194,212,2.136718591068953
016849.jpg,107,104,154,184,2.44334324107188
016850.jpg,120,117,221,245,0.23628543902883606
016851.jpg,114,117,138,192,0.6775674366504124
016852.jpg,143,91,110,182,1.4699368236753065
016853.jpg,112,114,209,217,2.4579882302223344
016854.jpg,110,108,190,224,0.7103492851936066
016855.jpg,116,119,212,222,2.6119825907789673
016856.jpg,117,103,150,187,1.7385176848742339
016858.jpg,112,120,189,224,1.5606387640812254
016859.jpg,93,112,172,173,1.2596509608415598
016860.jpg,107,120,199,241,2.874619542740947
016861.jpg,121,110,163,215,1.987086088903706
016862.jpg,120,122,204,223,0.7662014324698846
016863.jpg,108,113,189,231,2.1589738293504177
016864.jpg,110,129,164,225,2.3068703499590963
016866.jpg,108,119,123,149,1.827183638626787
016868.jpg,120,116,118,191,1.2465693804090363
016869.jpg,108,107,159,247,0.7248167080783803
016870.jpg,108,117,173,227,0.9648025428628542
016871.jpg,118,120,195,267,0.7572785112375742
016872.jpg,114,103,173,208,2.027786647211169
016873.jpg,91,95,181,218,1.2920653597333505
016874.jpg,119,105,149,214,1.2160551469550174
032238.jpg,136,120,172,228,0.8709052752020311
032239.jpg,107,114,186,205,1.4762887291912548
032240.jpg,113,118,191,240,0.2641224299285119
032241.jpg,127,106,155,231,1.5423617558361205
032242.jpg,54,26,76,174,1.3925076786681794
032243.jpg,99,110,157,220,1.8119757903799438
032244.jpg,105,116,180,255,2.504869186471544
032246.jpg,111,112,164,213,2.0525150300389363
032249.jpg,103,106,162,234,1.193664886406285
032250.jpg,107,114,201,260,0.6772697618195688
032251.jpg,99,114,164,227,2.2898285158275704
032253.jpg,118,115,164,213,1.9295241256285698
